晴,晴天和公园更配哦+天朗气清，惠风和畅+天气晴朗的时候心情也要好哦+天若有晴天不老，人间正道朝阳照
阴,天气阴心情也要好噢+阴天和甜品更配噢+阴天和小悟一起赖床吧+阴天安静地一起听首歌吧
晴间多云,晴天和公园更配哦+看看阳光的千种颜色，品品人生的百种滋味+多云时看天，晴朗时看你+好天气不如好心情，读书写诗抄单词
大部多云,好天气做什么都顺心+天气好的时候心情也要好哦+闲时晴雨骤时云，不管什么天气，都偷会儿懒吧+天气好的时候给自己放个假偷个懒吧
阵雨,记得带伞哦+阵雨是老天哭累的时候，给它一点时间缓缓，也给自己一点时间缓缓
下雨,记得带伞哦+独身者带伞是对自己的宠爱+一次性雨衣放在包里便于携带哦+无边丝雨细如愁，上帝把雨作为灵性赋予人类
小雨,记得带伞哦+独身者带伞是对自己的宠爱+一次性雨衣放在包里便于携带哦+无边丝雨细如愁，上帝把雨作为灵性赋予人类
中雨,新买的雨鞋可以穿了+和自然沟通我们需要工具，比如说雨伞雨衣和打车+下雨的时候不妨给自己几分钟，反正老天都憋不住了
大雨,谨记带伞，归家需早+大雨出行记得换便于出行的行装哦+可以趁着雨小的时候再出门哦+号外号外，大雨外卖小哥可能无法送餐哦
冻雨,要注意添衣保暖哦+闲暇时买一把好伞，防雨防冻防雪防寒
暴雨,出行谨记安全第一+人身安全是人生安全重要保障，为了革命，保护身体+暴风雨记得关门窗哦
大暴雨,请尽量待在室内不要外出+室外出行谨记安全
特大暴雨,请尽量待在室内不要外出+室外出行谨记安全
雷阵雨,请尽量待在室内不要外出+室外出行谨记安全
雷阵雨伴有冰雹,请尽量待在室内不要外出+室外出行谨记安全
雷暴雨,请尽量待在室内不要外出+真正的勇士敢于在家直面平静的人生
雷暴,请尽量待在室内不要外出+外出注意出行安全
雷雨,请尽量待在室内不要外出+外出注意出行安全
雾霾,记得戴口罩+出行开车记得开灯+雾霾时戴口罩和雨天带伞一样重要
多云,好天气做什么都顺心+聚云成雨，听歌见见自己+多云时适合带书出行见朋友+昨日之日不可留，今日之日多烦忧，今天的多云属于今天
沙尘暴,请尽量待在室内并关上窗户+出门要穿戴的装备太多，建议干脆不出门+如果有放在室外的花草记得搬进屋子哦+外出谨记出行安全
强沙尘暴,请尽量待在室内并关上窗户+不建议外出
台风,不建议外出+台风天比台风眼更安全的是家+台风天记得在家存粮哦+可以和家人打个电话吧
冰雹,注意防护+不要出行的同时注意家里窗户的安全哦+冰雹天还是老老实实看电视吧+需要在冰雹天出行的你需要打车
雨夹雪,要注意添衣保暖哦+闲暇时买一把好伞，防雨防雪噢
下雪,要注意添衣保暖哦+晚来天欲雪，能饮一杯无+早雪勤读，晚雪饮茶，风雪夜归人等雪在地上薄薄铺了一层的时候，写下某个人的名字吧
小雪,要注意添衣保暖哦+晚来天欲雪，能饮一杯无+早雪勤读，晚雪饮茶，风雪夜归人+等雪在地上薄薄铺了一层的时候，写下某个人的名字吧
中雪,和喜欢的人一起看雪吧+小悟一直觉得没什么比在下雪的时候撑一把红伞更浪漫+比在雪中撑红伞的时候更浪漫的是两个人撑一把伞+伞不重要，重要的是要贴暖宝宝
大雪,出行注意脚下防滑+臃肿的羽绒服比呢子大衣更合大雪天气的胃口+大雪天气，注意保暖防寒+大雪天盖暖一点一夜好梦
阵雪,要注意添衣保暖哦+当雪开始的时候回归自我，在雪停止的时候回归生活
暴雪,请尽量待在室内不要外出+暴雪天气出行注意视线安全距离范围
雨,记得带伞哦+独身者带伞是对自己的宠爱+一次性雨衣放在包里便于携带哦+无边丝雨细如愁，上帝把雨作为灵性赋予人类+记得把保温杯的枸杞喝完哦
雪,要注意添衣保暖哦+晚来天欲雪，能饮一杯无+早雪勤读，晚雪饮茶，风雪夜归人等雪在地上薄薄铺了一层的时候，写下某个人的名字吧
浮尘,记得戴口罩+室外出行谨记安全
扬沙,请尽量待在室内并关上窗户+室外出行谨记安全
雾,出行开车记得开灯
霾,记得戴口罩+雾霾时戴口罩和雨天带伞一样重要
晴天,晴天和公园更配哦+天朗气清，惠风和畅+天气晴朗的时候心情也要好哦+天若有晴天不老，人间正道朝阳照
阳光,阳光强烈，注意防晒+伞适用于任何一种天气，今天阳光强烈，带伞吧
大太阳,阳光强烈，注意防晒+强阳光下如果没有沙滩，待在空调房是不错的选择
天气挺热的,注意避暑+强阳光下如果没有沙滩，待在空调房是不错的选择
天气较冷,要注意添衣保暖哦+天冷注意防寒护手+冷天是温暖而繁琐的，红色的围巾拿出来吧
天气凉快,要注意添衣保暖哦
天气寒冷,要注意添衣保暖哦+冷天是温暖而繁琐的，红色的围巾拿出来吧+天冷注意防寒护手
风,别让风的喧嚣吹进了心里，注意保暖
大风,大风天气请在家抱紧自己
飓风,不建议外出+飓风时最好的活动是在家拍照发朋友圈
热带风暴,不建议外出+不具备外出条件
龙卷风,不建议外出+外出可能会被风吹走哦
